Row Labels,Acb,Act,At,Ba,Bg,Bl,Bp,Cw,Dr,Ep,Fd,Hm,Hw,La,Lt,Lw,Mb,Pa,Pl,Pw,Py,Qg,Ra,Sb,Se,Ss,Sw,Sx,Sxs,Yc
CWHxm/03,,1,,,,,,1,1,1,3,,1,,,,1,,2,,,,3,,,,,,,
CWHxm/04,,1,,,,,,1,1,1,3,,,,,,1,,,1,,,,,,,,,,
CWHxm/05,,3,,,1,,,3,3,3,3,,1,,,,1,,,1,,,,,,,,,,
CWHxm/06,,1,,,1,,,3,3,3,2,,3,,,,1,,,,,,,,,,,,,
CWHxm/07,,3,,,3,,,3,3,3,3,,1,,,,3,,,,,,,,,,,,,
CWHxm/08,,3,,,3,,,3,3,3,,,,,,,3,,,,,,,,,3,,,,
CWHxm/09,,3,,,2,,,2,3,3,,,,,,,3,,,,,,,,,,,,,
CWHxm/10,,1,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,
CWHxm/11,,,,,,,,1,,,,,,,,,,,3,,,,,,,,,,,
CWHxm/12,,1,,,,,,3,1,1,,,1,,,,1,,,1,,,,,,1,,,,
CWHxm/13,,3,,,3,,,3,3,3,2,,,,,,3,,,,,,,,,,,,,
CWHxm/14,,3,,,3,,,3,3,3,,,,,,,3,,,,,,,,,,,,,
CWHxm/15,,1,,,,,,3,1,1,,,,,,,1,,,,,,,,,,,,,
ESSFdc1/101,,,,,,2,,,,,,,,,,,,,2,,,,,,3,,,,,
ESSFdc1/102,,,,,,1,,,,,,,,,,,,1,3,,,,,,2,,,,,
ESSFdc1/103,,,,,,1,,,,,,,,,,,,1,3,,,,,,2,,,,,
ESSFdc1/104,,,,,,2,,,,,,,,,,,,,3,,,,,,3,,,,,
ESSFdc1/110,,,,,,3,,,,,,,,,,,,,,,,,,,3,,,,,
ESSFdc1/111,,,,,,3,,,,,,,,,,,,,,,,,,,3,,,,,
ESSFdc1/112,,,,,,3,,,,,,,,,,,,,,,,,,,3,,,,,
ESSFdc2/01,,,,,,2,,,,,,,,,,,,,3,,,,,,3,,,,,
ESSFdc2/02,,,,,,1,,,,,,,,,,,,,3,,,,,,1,,,,,
ESSFdc2/03,,,,,,1,,,,,,,,,,,,1,3,,,,,,1,,,,,
ESSFdc2/04,,,,,,1,,,,,,,,,,,,,3,,,,,,1,,,,,
ESSFdc2/05,,,,,,2,,,,,,,,,,,,,3,,,,,,3,,,,,
ESSFdc2/06,,,,,,2,,,,,,,,,,,,,3,,,,,,3,,,,,
ESSFdc2/07,,,,,,2,,,,,,,,,,,,,3,,,,,,3,,,,,
ESSFdc2/08,,,,,,2,,,,,,,,,,,,,3,,,,,,3,,,,,
ESSFdcw/101,,,,,,2,,,,,,,,,,,,,,,,,,,3,,,,,
ESSFdcw/102,,,,,,2,,,,,,,,,,,,1,1,,,,,,3,,,,,
ESSFdcw/103,,,,,,2,,,,,,,,,,,,1,,,,,,,3,,,,,
ESSFdcw/110,,,,,,3,,,,,,,,,,,,,,,,,,,3,,,,,
ESSFdk/01,,,,,,2,,,,,2,,,,,2,,,3,,,,,,3,,,,,
ESSFdk/02,,,,,,1,,,,,3,,,,,3,,1,3,,,,,,2,,,,,
ESSFdk/03,,,,,,2,,,,,2,,,,,2,,,3,,,,,,2,,,,,
ESSFdk/04,,,,,,2,,,,,2,,,,,2,,1,3,,,,,,3,,,,,
ESSFdk/05,,,,,,3,,,,,,,,,,,,,3,,,,,,3,,,,,
ESSFdk/06,,,,,,3,,,,,,,,,,,,,3,,,,,,3,,,,,
ESSFdv/01,,,,,,2,,,,,,,,,,,,1,3,,,,,,3,,,,,
ESSFdv/02,,,1,,,1,,,,,,,,,,,,1,3,,,,,,1,,,,,
ESSFdv/03,,,,,,1,,,,,,,,,,,,1,3,,,,,,1,,,,,
ESSFdv/04,,,,,,2,,,,,,,,,,,,1,3,,,,,,3,,,,,
ESSFdv/05,,,,,,2,,,,,,,,,,,,1,3,,,,,,3,,,,,
ESSFdv/06,,,,,,2,,,,,,,,,,,,1,3,,,,,,3,,,,,
ESSFmc/01,,,,,,3,,,,,,,,,,,,,2,,,,,,3,,,,,
ESSFmc/02,,,,,,2,,,,,,,,,,,,,3,,,,,,2,,,,,
ESSFmc/03,,,,,,2,,,,,,,,,,,,,3,,,,,,2,,,,,
ESSFmc/04,,,,,,3,,,,,,,,,,,,,3,,,,,,2,,,,,
ESSFmc/05,,,,,,3,,,,,,,,,,,,,2,,,,,,3,,,,,
ESSFmc/06,,,,,,3,,,,,,,,,,,,,2,,,,,,3,,,,,
ESSFmc/07,,,,,,3,,,,,,,,,,,,,1,,,,,,3,,,,,
ESSFmc/08,,,,,,3,,,,,,,,,,,,,,,,,,,3,,,,,
ESSFmc/09,,,,,,3,,,,,,,,,,,,,,,,,,,3,,,,,
ESSFmc/10,,,,,,3,,,,,,,,,,,,,,,,,,,3,,,,,
ESSFmh/101,,1,1,,,3,,2,,,1,,1,,,2,,,2,1,,,,,3,,,,,
ESSFmh/102,,,,,,1,,,,,3,,,,,3,,1,2,,,,,,1,,,,,
ESSFmh/103,,,,,,2,,1,,,3,,,,,3,,,3,1,,,,,2,,,,,
ESSFmh/104,,,,,,2,,,,,,,,,,,,,3,,,,,,3,,,,,
ESSFmh/105,,,,,,2,,1,,,3,,,,,3,,,3,1,,,,,3,,,,,
ESSFmh/110,,1,,,,3,,2,,,,,2,,,,,,,,,,,,3,,,,,
ESSFmh/111,,1,,,,3,,2,,,,,2,,,,,,,,,,,,3,,,,,
ESSFmh/112,,1,,,,3,,,,,,,,,,,,,,,,,,,3,,,,,
ESSFmk/01,,,,1,,3,,,,,,2,,,,,,,2,,,,,,3,,,,,
ESSFmk/02,,,,,,2,,,,,,2,,,,,,3,3,,,,,,2,,,,,
ESSFmk/03,,,,1,,2,,,,,,2,,,,,,3,3,,,,,,2,,,,,
ESSFmk/04,,,,1,,3,,,,,,2,,,,,,,2,,,,,,3,,,,,
ESSFmk/05,,,,1,,3,,,,,,2,,,,,,,1,,,,,,3,,,,,
ESSFmk/06,,,,1,,3,,,,,,1,,,,,,,,,,,,,3,,,,,
ESSFmk/07,,,,1,,3,,,,,,,,,,,,,,,,,,,3,,,,,
ESSFmm1/01,,,,,,3,,,,,,,,,,,,,2,,,,,,3,,,,,
ESSFmm1/02,,,,,,3,,,,,,,,,,,,,3,,,,,,3,,,,,
ESSFmm1/03,,,,,,2,,,,,,,,,,,,,3,,,,,,2,,,,,
ESSFmm1/04,,,,,,3,,,,,,,,,,,,,2,,,,,,3,,,,,
ESSFmm1/05,,,,,,3,,,,,,,,,,,,,2,,,,,,3,,,,,
ESSFmm1/06,,,,,,3,,,,,,,,,,,,,2,,,,,,3,,,,,
ESSFmm1/07,,,,,,3,,,,,,,,,,,,,2,,,,,,3,,,,,
ESSFmv1/01,,,0,,,3,,,,0,1,,,,,1,,,3,,,,,,3,,,,,
ESSFmv1/02,,,,,,1,,,,,,,,,,,,,3,,,,,,,,,,,
ESSFmv1/03,,,,,,3,,,,,,,,,,,,,3,,,,,,3,,,,,
ESSFmv1/04,,,,,,3,,,,,,,,,,,,,2,,,,,,3,,,,,
ESSFmv1/05,,,,,,3,,,,,,,,,,,,,2,,,,,,3,,,,,
ESSFmv2/01,,,,,,3,,,,,,,,,,,,,2,,,,,,3,,,,,
ESSFmv2/02,,,,,,3,,,,,,,,,,,,,3,,,,,,3,,,,,
ESSFmv2/03,,,,,,3,,,,,,,,,,,,,3,,,,,1,3,,,,,
ESSFmv2/04,,,,,,3,,,,,,,,,,,,,2,,,,,,3,,,,,
ESSFmv2/05,,,,,,3,,,,,,,,,,,,,2,,,,,,3,,,,,
ESSFmv2/06,,,,,,3,,,,,,,,,,,,,2,,,,,,3,,,,,
ESSFmv3/01,,,,,,3,,,,,,,,,,,,,2,,,,,,3,,,,,
ESSFmv3/02,,,,,,2,,,,,,,,,,,,,3,,,,,,2,,,,,
ESSFmv3/03,,,,,,3,,,,,,,,,,,,,2,,,,,1,3,,,,,
ESSFmv3/04,,,,,,3,,,,,,,,,,,,,1,,,,,,3,,,,,
ESSFmv3/05,,,,,,3,,,,,,,,,,,,,1,,,,,,3,,,,,
ESSFmv3/06,,,,,,3,,,,,,,,,,,,,2,,,,,,3,,,3,,
ESSFmv3/07,,,,,,3,,,,,,,,,,,,,2,,,,,,3,,,,,
ESSFmv3/08,,,,,,2,,,,,,,,,,,,,3,,,,,,2,,,,,
ESSFmv4/01,,,,,,3,,,,,,,,,,,,,2,,,,,,3,,,,,
ESSFmv4/02,,,,,,3,,,,,,,,,,,,,3,,,,,,3,,,,,
ESSFmv4/03,,,,,,3,,,,,,,,,,,,,3,,,,,1,3,,,,,
ESSFmv4/04,,,,,,3,,,,,,,,,,,,,3,,,,,,3,,,,,
ESSFmv4/05,,,,,,3,,,,,,,,,,,,,2,,,,,,3,,,,,
ESSFmw/01,,,,2,,2,,,,,,,,,,,,,1,,,,,,3,,,,,
ESSFmw/02,,,,,,1,,,,,2,,,,,,,1,3,,,,,,2,,,,,
ESSFmw/03,,,,,,1,,,,,2,,,,,,,1,3,,,,,,2,,,,,
ESSFmw/04,,,,2,,2,,,,,2,,,,,,,,3,,,,,,3,,,,,
ESSFmw/05,,,,2,,3,,,,,,1,,,,,,,1,,,,,,3,,,,,
ESSFmw/06,,,,2,,3,,,,,,,,,,,,,1,,,,,,3,,,,,
ESSFmw/07,,,,3,,3,,1,,,,,1,,,,,,2,,,,,,3,,,,,
ESSFmw/08,,,,1,,3,,1,,,,,,,,,,,2,,,,,,3,,,,,
ESSFvc/01,,,,,,3,,,,,,1,,,,,,,,,,,,,3,,,,,
ESSFvc/02,,,,,,2,,,,,,1,,,,,,,1,,,,,,3,,,,,
ESSFvc/03,,,,,,3,,,,,,1,,,,,,,,,,,,,3,,,,,
ESSFvc/04,,,,,,3,,,,,,1,,,,,,,,,,,,,3,,,,,
ESSFvc/05,,,,,,3,,,,,,1,,,,,,,,,,,,,3,,,,,
ESSFvv/01,,,,,,3,,,,,,1,,,,,,,,,,,,,3,,,,,
ESSFvv/02,,,,,,3,,,,,,1,,,,,,,1,,,,,,3,,,,,
ESSFvv/03,,,,,,3,,,,,,1,,,,,,,,,,,,,3,,,,,
ESSFvv/04,,,,,,3,,,,,,1,,,,,,,,,,,,,3,,,,,
ESSFwc1/01,,,,,,3,,1,,,,,1,,,,,,2,,,,,,3,,,,,
ESSFwc1/02,,,,,,2,,1,,,2,,,,,2,,1,3,,,,,,3,,,,,
ESSFwc1/03,,,,,,3,,1,,,,,1,,,,,,1,,,,,,3,,,,,
ESSFwc1/04,,,,,,3,,,,,,,1,,,,,,2,,,,,,3,,,,,
ESSFwc2/01,,,,,,3,,2,,,2,,1,,,1,,,1,1,,,,,3,,,,,
ESSFwc2/02,,,,,,2,,,,,,,,,,,,,3,,,,,,2,,,,,
ESSFwc2/03,,,,,,3,,,,,,,,,,,,,2,,,,,,3,,,,,
ESSFwc2/04,,,,,,3,,,,,,,,,,,,,2,,,,,,3,,,,,
ESSFwc2/05,,,,,,3,,,,,,,,,,,,,1,,,,,,3,,,,,
ESSFwc2/06,,,,,,3,,,,,,,,,,,,,1,,,,,,3,,,,,
ESSFwc2/07,,,,,,3,,,,,,,,,,,,,1,,,,,,3,,,,,
ESSFwc2/08,,,,,,3,,,,,,,,,,,,,1,,,,,,3,,,,,
ESSFwc2/09,,,,,,2,,,,,,,,,,,,,3,,,,,,2,,,,,
ESSFwc3/01,0,,0,,,3,,2,,,2,,1,,,1,,,2,2,,,,,3,,,,,
ESSFwc3/02,,,,,,3,,,,,,,,,,,,,2,,,,,,3,,,,,
ESSFwc3/03,,,,,,3,,,,,,,,,,,,,,,,,,,3,,,,,
ESSFwc4/101,,,,,,3,,,,,,,,,,,,,,,,,,,3,,,,,
ESSFwc4/102,,,,,,1,,,,,,,,,,,,1,2,,,,,,3,,,,,
ESSFwc4/103,,,,,,2,,,,,,,,,,,,1,2,,,,,,3,,,,,
ESSFwc4/110,,,,,,3,,,,,,,,,,,,,,,,,,,3,,,,,
ESSFwc4/111,,,,,,3,,,,,,,,,,,,,,,,,,,3,,,,,
ESSFwc4/112,,,,,,3,,,,,,,,,,,,,,,,,,,3,,,,,
ESSFwcw/101,,,,,,3,,,,,,,,,,,,,,,,,,,3,,,,,
ESSFwcw/102,,,,,,2,,,,,,,,,,,,1,1,,,,,,3,,,,,
ESSFwcw/103,,,,,,2,,,,,,,,,,,,1,,,,,,,3,,,,,
ESSFwcw/104,,,,,,2,,,,,,,,1,,,,,,,,,,,3,,,,,
ESSFwcw/110,,,,,,3,,,,,,,,,,,,,,,,,,,3,,,,,
ESSFwh1/101,,1,1,,,3,,1,,,1,,2,,,1,,,1,,,,,,3,,,,,
ESSFwh1/102,,,,,,2,,,,,2,,,,,,,1,3,,,,,,3,,,,,
ESSFwh1/103,,,,,,2,,,,,2,,,,,2,,1,2,1,,,,,3,,,,,
ESSFwh1/104,,,,,,2,,1,,,2,,1,,,2,,,1,1,,,,,3,,,,,
ESSFwh1/110,,1,,,,3,,2,,,,,2,,,,,,,,,,,,3,,,,,
ESSFwh1/111,,,,,,3,,,,,,,1,,,,,,,,,,,,3,,,,,
ESSFwh2/101,,1,0,,,3,,1,,,2,,1,,,2,,,2,1,,,,,3,,,,,
ESSFwh2/102,,,,,,1,,,,,2,,1,,,,,1,2,,,,,,3,,,,,
ESSFwh2/103,,,,,,2,,,,,3,,1,,,3,,1,2,1,,,,,3,,,,,
ESSFwh2/104,,,,,,2,,,,,2,,1,,,2,,,2,2,,,,,3,,,,,
ESSFwh2/110,,1,,,,3,,1,,,,,1,,,,,,,,,,,,3,,,,,
ESSFwh2/111,,1,,,,3,,1,,,,,1,,,,,,,,,,,,3,,,,,
ESSFwh2/112,,,,,,3,,,,,,,1,,,,,,,,,,,,3,,,,,
ESSFwh3/101,,1,0,,,,,1,,,2,,1,,,2,,,1,1,,,,,3,,,,,
ESSFwh3/102,,,,,,1,,,,,3,,,,,3,,1,3,,,,,,1,,,,,
ESSFwh3/103,,,,,,2,,,,,2,,1,,,2,,1,2,1,,,,,3,,,,,
ESSFwh3/104,,,,,,2,,1,,,2,,1,,,2,,,2,1,,,,,3,,,,,
ESSFwh3/110,,1,,,,3,,2,,,,,1,,,,,,1,,,,,,3,,,,,
ESSFwh3/111,,1,,,,3,,1,,,,,1,,,,,,,,,,,,3,,,,,
ESSFwh3/112,,,,,,2,,,,,,,1,,,,,,,,,,,,3,,,,,
ESSFwk1/01,,,,,,3,,,,,,,,,,,,,2,,,,,,3,,,,,
ESSFwk1/02,,,,,,3,,,,,,,,,,,,,3,,,,,,3,,,,,
ESSFwk1/03,,,,,,2,,,,,,,,,,,,,3,,,,,,3,,,,,
ESSFwk1/04,,,,,,3,,,,,,,,,,,,,2,,,,,,3,,,,,
ESSFwk1/05,,,,,,3,,,,,,,,,,,,,2,,,,,,3,,,,,
ESSFwk1/06,,,,,,3,,,,,,,,,,,,,,,,,,,3,,,,,
ESSFwk1/07,,,,,,3,,,,,,,,,,,,,,,,,,,3,,,,,
ESSFwk2/01,,,,,,3,,,,,,,,,,,,,,,,,,,3,,,,,
ESSFwk2/02,,,,,,3,,,,,,,,,,,,,,,,,,,3,,,,,
ESSFwk2/03,,,,,,3,,,,,,,,,,,,,1,,,,,,3,,,,,
ESSFwk2/04,,,,,,3,,,,,,,,,,,,,,,,,,,3,,,,,
ESSFwk2/05,,,,,,3,,,,,,,,,,,,,,,,,,,3,,,,,
ESSFwk2/06,,,,,,3,,,,,,,,,,,,,,,,,,,3,,,,,
ESSFwm/01,,,,,,3,,,,,2,,,,,2,,,2,,,,,,3,,,,,
ESSFwm/02,,,,,,1,,,,,,,1,,,,,1,2,1,,,,,3,,,,,
ESSFwm/03,,,,,,2,,,,,3,,1,,,3,,,2,2,,,,,3,,,,,
ESSFwm/04,,,,,,3,,,,,,,1,,,,,,2,,,,,,3,,,,,
ESSFwm2/101,,,,,,3,,,,,,,,,,,,,1,,,,,,3,,,,,
ESSFwm2/102,,,,,,2,,,,,1,,,1,,,,2,1,,,,,,3,,,,,
ESSFwm2/103,,,,,,,,,,,,,,,,,,1,2,,,,,,3,,,,,
ESSFwm2/104,,,,,,2,,,,,,,,,,,,1,2,,,,,,3,,,,,
ESSFwm2/110,,,,,,3,,,,,,,,,,,,,,,,,,,3,,,,,
ESSFwm2/111,,,,,,3,,,,,,,,,,,,,,,,,,,3,,,,,
ESSFwm2/112,,,,,,3,,,,,,,,,,,,,,,,,,,3,,,,,
ESSFwm3/101,,,,,,3,,,,,,,,,,,,,2,,,,,,3,,,,,
ESSFwm3/102,,,,,,1,,,,,,,,,,,,1,2,,,,,,3,,,,,
ESSFwm3/103,,,,,,2,,,,,,,,,,,,1,2,,,,,,3,,,,,
ESSFwm3/104,,,,,,3,,,,,,,,,,,,,1,,,,,,3,,,,,
ESSFwm3/105,,,,,,3,,,,,,,,,,,,,1,,,,,,3,,,,,
ESSFwm3/110,,,,,,3,,,,,,,,,,,,,,,,,,,3,,,,,
ESSFwm3/111,,,,,,3,,,,,,,,,,,,,,,,,,,3,,,,,
ESSFwm3/112,,,,,,3,,,,,,,,,,,,,,,,,,,3,,,,,
ESSFwm4/101,,,,,,2,,1,,,1,,2,,,1,,,2,,,,,,3,,,,,
ESSFwm4/102,,,,,,2,,,,,1,,,,,1,,1,3,,,,,,2,,,,,
ESSFwm4/103,,,,,,2,,,,,2,,1,,,2,,,3,,,,,,3,,,,,
ESSFwm4/110,,,,,,3,,1,,,,,1,,,,,,,,,,,,3,,,,,
ESSFwm4/111,,,,,,3,,,,,,,,,,,,,,,,,,,3,,,,,
ESSFwmw/102,,,,,,2,,,,,,,,1,,,,,1,,,,,,,,,,,
ESSFwmw/103,,,,,,2,,,,,,,,,,,,1,1,,,,,,,,,,,
ESSFwv/01,,,,,,3,,,,,,1,1,,,,,,2,,,,,,3,,,,,
ESSFwv/02,,,,,,2,,,,,,2,,,,,,,3,,,,,,2,,,,,
ESSFwv/03,,,,,,2,,,,,,2,1,,,,,,3,,,,,,2,,,,,
ESSFwv/04,,,,,,2,,,,,,2,,,,,,,3,,,,,,2,,,,,
ESSFwv/05,,,,,,3,,,,,,1,1,,,,,,2,,,,,,3,,,,,
ESSFwv/06,,,,,,3,,,,,,1,1,,,,,,1,,,,,,3,,,,,
ESSFwv/07,,,,,,3,,,,,,1,1,,,,,,,,,,,,3,,,,,
ESSFwv/08,,,,,,3,,,,,,,,,,,,,,,,,,,3,,,,,
ESSFwv/09,,,,,,3,,,,,,,,,,,,,,,,,,,3,,,,,
ESSFxc/01,,,,,,2,,,,,,,,,,,,,3,,,,,,3,,,,,
ESSFxc/02,,,,,,1,,,,,,,,,,,,,3,,,,,,1,,,,,
ESSFxc/05,,,,,,1,,,,,,,,,,,,,3,,,,,,1,,,,,
ESSFxc/06,,,,,,2,,,,,,,,,,,,,3,,,,,,3,,,,,
ESSFxc/07,,,,,,2,,,,,,,,,,,,,3,,,,,,3,,,,,
ESSFxc/08,,,,,,2,,,,,,,,,,,,,3,,,,,,2,,,,,
ESSFxv1/01,,,,,,3,,,,,,,,,,,,2,3,,,,,,3,,,,,
ESSFxv1/02,,,,,,1,,,,,,,,,,,,3,3,,,,,,,,,,,
ESSFxv1/03,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,
ESSFxv1/04,,,,,,1,,,,,,,,,,,,3,3,,,,,,1,,,,,
ESSFxv1/05,,,,,,2,,,,,,,,,,,,3,3,,,,,,2,,,,,
ESSFxv1/06,,,,,,2,,,,,,,,,,,,1,3,,,,,,2,,,,,
ESSFxv1/07,,,,,,3,,,,,,,,,,,,1,3,,,,,,3,,,,,
ESSFxv1/08,,,,,,3,,,,,,,,,,,,,3,,,,,,3,,,,,
ESSFxv1/09,,,,,,3,,,,,,,,,,,,,2,,,,,,3,,,,,
ESSFxv2/01,,,,,,3,,,,,,,,,,,,1,3,,,,,,3,,,,,
ESSFxv2/02,,,,,,1,,,,,,,,,,,,2,3,,,,,,,,,,,
ESSFxv2/03,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,
ESSFxv2/04,,,,,,2,,,,,,,,,,,,,3,,,,,,,,,,,
ESSFxv2/05,,,,,,2,,,,,,,,,,,,2,3,,,,,,2,,,,,
ESSFxv2/06,,,,,,2,,,,,,,,,,,,1,3,,,,,,2,,,,,
ESSFxv2/07,,,,,,3,,,,,,,,,,,,,3,,,,,,3,,,,,
ESSFxv2/08,,,,,,3,,,,,,,,,,,,,2,,,,,,3,,,,,
ESSFxv2/09,,,,,,3,,,,,,,,,,,,,2,,,,,,3,,,,,
ESSFxv2/10,,,,,,3,,,,,,,,,,,,,2,,,,,,3,,,,,
ICHdk/01,,,1,,,2,,1,,1,3,,,,,,,,3,,,,,,,,,3,,
ICHdk/02,,,1,,,1,,1,,,3,,,,,,,,3,,,,,,,,,1,,
ICHdk/03,,,1,,,,,1,,,3,,,,,,,,3,,,,,,,,,1,,
ICHdk/04,,,1,,,2,,1,,1,3,,,,,,,,3,,,,,,,,,3,,
ICHdk/05,,1,1,,,2,,2,,1,3,,,,,,,,3,,,,,,,,,3,,
ICHdk/06,,1,1,,,2,,2,,1,3,,,,,,,,3,,,,,,,,,3,,
ICHdk/07,,1,1,,,2,,,,,3,,,,,,,,3,,,,,,,,,3,,
ICHdk/08,,1,1,,,2,,2,,1,3,,,,,,,,2,,,,,,,,,3,,
ICHdk/09,,1,,,,2,,,,,,,,,,,,,2,,,,,,,,,3,,
ICHdm/101,,1,1,,1,2,,3,,1,3,,2,,,3,,,2,2,,,,,,,,2,,
ICHdm/102,,,1,,,,,,,,3,,,,,2,,,1,,1,,,,,,,,,
ICHdm/103,,,1,,1,1,,,,1,3,,,,,3,,,2,1,,,,,,,,1,,
ICHdm/110,,1,1,,1,2,,3,,1,2,,,,,2,,,,1,,,,,,,,3,,
ICHdm/111,,1,1,,,2,,3,,1,,,2,,,,,,,,,,,,,,,3,,
ICHdm/112,,1,,,,2,,1,,,,,1,,,,,,,,,,,,,,,3,,
ICHdw1/101,,,1,,2,1,,2,,1,3,,2,,,3,,,2,2,1,,,,,,,1,,
ICHdw1/102,,,,,,,,1,,1,3,,,,,2,,,1,,3,,,,,,,,,
ICHdw1/103,,,,,,,,,,1,3,,,,,2,,,1,1,3,,,,,,,,,
ICHdw1/104,,,1,,1,,,1,,1,3,,1,,,3,,,2,2,2,,,,,,,1,,
ICHdw1/110,,1,1,,2,1,,3,,1,3,,2,,,3,,,1,3,,,,,,,,2,,
ICHdw1/111,,1,1,,2,1,,3,,1,2,,2,,,2,,,1,2,,,,,,,,3,,
ICHdw1/112,,1,1,,,1,,3,,1,,,2,,,,,,,1,,,,,,,,3,,
ICHdw1/113,,1,1,,,1,,3,,1,,,2,,,,,,,,,,,,,,,3,,
ICHdw4/101,,,1,,,1,,2,,1,3,,2,,,3,,,2,2,1,,,,,,,1,,
ICHdw4/102,,,,,,,,1,,1,3,,,,,1,,,1,,2,,,,,,,,,
ICHdw4/103,,,,,,,,,,1,3,,,,,2,,,1,1,1,,,,,,,,,
ICHdw4/104,,,1,,,,,1,,1,3,,1,,,3,,,2,2,1,,,,,,,1,,
ICHdw4/110,,1,1,,,1,,3,,1,2,,2,,,2,,,1,2,,,,,,,,3,,
ICHdw4/111,,1,1,,,1,,3,,,,,2,,,,,,,1,,,,,,,,3,,
ICHdw4/112,,1,1,,,1,,3,,1,,,2,,,,,,,1,,,,,,,,3,,
ICHmc1/01,,,1,1,,2,,,,1,,,3,,,,,,2,,,,,,,,,3,,
ICHmc1/02,,,1,,,1,,,,,,,1,,,,,,3,,,,,,,,,,,
ICHmc1/03,,1,1,1,,2,,,,1,,,3,,,,,,1,,,,,,,,,3,,
ICHmc1/04,,1,1,1,,2,,,,1,,,2,,,,,,1,,,,,,,,,3,,
ICHmc1/05,,1,1,1,,2,,,,1,,,,,,,,,1,,,,,,,,,3,,
ICHmc1/06,,1,,1,,2,,,,,,,1,,,,,,,,,,,,,,,3,,
ICHmc1a/01,,,1,2,,1,,1,,1,,,3,,,,,,3,,,,,,,,,3,,
ICHmc1a/02,,1,1,3,,1,,1,,1,,,2,,,,,,2,,,,,,,,,3,,
ICHmc1a/03,,,,3,,1,,1,,,,,2,,,,,,2,,,,,,,,,3,,
ICHmc2/00,,,1,1,,2,,2,,1,2,,3,,,2,,,3,,,,,,,,,3,,
ICHmc2/01,,,1,1,,2,,2,,1,,,3,,,,,,3,,,,,,,,,3,,
ICHmc2/01b,,,1,1,,2,,2,,1,2,,3,,,,,,3,,,,,,,,,3,,
ICHmc2/02,,,1,1,,1,,,,,,,1,,,,,,3,,,,,,,,,,,
ICHmc2/03,,1,1,1,,2,,3,,1,2,,3,,,2,,,2,,,,,,,,,3,,
ICHmc2/04,,1,1,1,,2,,3,,1,2,,2,,,2,,,2,,,,,,,,,3,,
ICHmc2/05,,1,1,1,,2,,3,,1,,,2,,,,,,2,,,,,,,,,3,,
ICHmc2/06,,1,1,1,,2,,3,,1,,,1,,,,,,2,,,,,,,,,3,,
ICHmc2/07,,1,1,2,,2,,2,,1,,,1,,,,,,1,,,,,,,,,3,,
ICHmc2/08,,,,,,,,,,,,,,,,,,,2,,,,,3,,,,3,,
